DS,Trig_Num,Ht,YYYY-MM-DD,hh:mm:ss,Dr,Speed,Wb,Hdwy,Gap,Ax,Gp,Rh,Cl,Nm,Vehicle
1,0000053a,4,2023-11-5,13:50:13,N0,74.88,2.97,120.3,120.2,2,2,1.0,2,00000010,SV
1,0000053e,4,2023-11-5,13:50:31,N0,88.28,2.61,17.6,17.5,2,2,1.0,2,00000010,SV
1,00000542,4,2023-11-5,13:51:38,N0,84.48,2.75,67.3,67.1,2,2,1.0,2,00000020,SV
1,00000546,4,2023-11-5,13:51:40,N0,83.34,3.5,1.3,1.2,2,2,1.0,4,00000010,TB2
1,0000054a,10,2023-11-5,13:52:47,N0,85.41,15.4,67.2,67.1,5,3,1.0,9,00000020,ART5
1,00000554,10,2023-11-5,13:52:51,N0,87.58,15.29,4.2,3.5,5,3,1.0,9,00000010,ART5
1,0000055e,4,2023-11-5,13:53:18,N0,81.03,5.73,27.0,26.4,2,2,1.0,4,00000020,TB2
1,00000562,4,2023-11-5,13:53:19,N0,81.58,3.11,1.3,1.0,2,2,1.0,2,00000020,SV
1,00000566,4,2023-11-5,13:53:21,N0,82.29,2.94,1.3,1.2,2,2,1.0,2,00000020,SV
1,0000056a,4,2023-11-5,13:53:24,N0,84.69,6.43,3.0,2.9,2,2,1.0,4,00000020,TB2
1,0000056e,4,2023-11-5,13:53:26,N0,81.47,2.71,2.4,2.2,2,2,1.0,2,00000010,SV
1,00000572,4,2023-11-5,13:53:33,N0,80.13,5.21,7.3,7.2,2,2,1.0,4,00000020,TB2
1,00000576,16,2023-11-5,13:53:36,N0,77.4,21.37,2.6,2.3,8,4,1.0,11,00000020,BD
1,00000586,4,2023-11-5,13:53:39,N0,76.63,2.74,2.7,1.7,2,2,1.0,2,00000020,SV
1,0000058a,4,2023-11-5,13:53:41,N0,76.9,2.55,2.7,2.6,2,2,1.0,2,00000020,SV
1,0000058e,4,2023-11-5,13:53:44,N0,79.29,2.8,3.0,2.8,2,2,1.0,2,00000020,SV
1,00000592,4,2023-11-5,13:53:47,N0,83.79,5.66,3.0,2.9,2,2,1.0,4,00000010,TB2
1,00000596,8,2023-11-5,13:54:26,N0,75.28,9.37,39.1,38.8,4,3,1.0,3,00000020,SVT
1,0000059e,4,2023-11-5,13:54:28,N0,77.12,2.69,1.3,0.9,2,2,1.0,2,00000020,SV
1,000005a2,4,2023-11-5,13:54:29,N0,81.52,2.98,1.6,1.4,2,2,1.0,2,00000010,SV
1,000005a6,4,2023-11-5,13:54:42,N0,69.62,3.93,13.0,12.9,2,2,1.0,4,00000020,TB2
1,000005aa,4,2023-11-5,13:54:44,N0,70.77,2.51,1.4,1.2,2,2,1.0,2,00000020,SV
1,000005ae,6,2023-11-5,13:54:45,N0,70.21,6.21,0.8,0.7,3,3,1.0,3,00000020,SVT
1,000005b4,12,2023-11-5,13:54:47,N0,72.04,11.51,2.5,2.1,6,3,1.0,10,00000020,ART6
1,000005c0,4,2023-11-5,13:54:49,N0,71.36,2.69,2.3,1.8,2,2,1.0,2,00000010,SV
1,000005c4,4,2023-11-5,13:55:01,N0,81.14,2.91,11.5,11.3,2,2,1.0,2,00000010,SV
1,000005c8,6,2023-11-5,13:57:03,N0,81.62,9.5,122.5,122.4,3,3,1.0,7,00000020,ART3
1,000005ce,8,2023-11-5,13:57:06,N0,75.26,6.3,2.9,2.5,4,2,1.0,6,00000020,T4
1,000005d6,4,2023-11-5,13:57:07,N0,78.99,3.06,1.1,0.8,2,2,1.0,2,00000010,SV
1,000005da,4,2023-11-5,13:57:22,N0,82.19,2.95,14.9,14.8,2,2,1.0,2,00000010,SV
1,000005de,4,2023-11-5,13:57:32,N0,71.29,2.91,10.0,9.8,2,2,1.0,2,00000020,SV
1,000005e2,4,2023-11-5,13:57:34,N0,72.64,3.12,1.5,1.4,2,2,1.0,2,00000020,SV
1,000005e6,4,2023-11-5,13:57:36,N0,69.98,2.72,2.5,2.3,2,2,1.0,2,00000020,SV
1,000005ea,4,2023-11-5,13:57:38,N0,72.71,2.86,1.4,1.2,2,2,1.0,2,00000020,SV
1,000005ee,4,2023-11-5,13:57:40,N0,76.51,5.77,2.3,2.2,2,2,1.0,4,00020042,TB2
1,000005f2,4,2023-11-5,13:57:41,N0,75.38,3.07,0.8,0.6,2,2,1.0,2,00000020,SV
1,000005f6,10,2023-11-5,13:57:44,N0,79.86,13.89,3.0,2.9,5,4,1.0,9,00000010,ART5
1,00000600,6,2023-11-5,13:58:06,N0,81.7,6.07,22.2,21.6,3,3,1.0,3,00000020,SVT
1,00000606,4,2023-11-5,13:58:08,N0,79.22,2.46,1.8,1.6,2,2,1.0,2,00000020,SV
1,0000060a,4,2023-11-5,13:58:10,N0,80.77,2.92,2.6,2.4,2,2,1.0,2,00000010,SV
1,0000060e,4,2023-11-5,13:58:20,N0,84.39,2.39,9.1,9.0,2,2,1.0,2,00000010,SV
1,00000612,4,2023-11-5,13:58:32,N0,84.15,2.54,12.8,12.6,2,2,1.0,2,00000010,SV
1,00000616,4,2023-11-5,13:58:43,N0,79.55,2.56,10.4,10.3,2,2,1.0,2,00000010,SV
1,0000061a,4,2023-11-5,13:58:56,N0,87.6,2.58,13.2,13.1,2,2,1.0,2,00000010,SV
1,0000061e,4,2023-11-5,13:59:12,N0,91.99,2.58,16.1,16.0,2,2,1.0,2,00000020,SV
1,00000622,4,2023-11-5,13:59:13,N0,91.11,2.91,1.1,1.0,2,2,1.0,2,00000020,SV
1,00000626,6,2023-11-5,13:59:17,N0,92.51,6.38,3.9,3.8,3,3,1.0,3,00000020,SVT
1,0000062c,4,2023-11-5,13:59:20,N0,86.43,3.9,3.3,3.1,2,2,1.0,4,00000010,TB2
1,00000630,4,2023-11-5,13:59:27,N0,90.23,5.89,6.7,6.5,2,2,1.0,4,00000010,TB2
1,00000634,6,2023-11-5,13:59:32,N0,83.02,6.77,5.0,4.8,3,2,1.0,5,00000020,TB3
